dataset,su,reg,threads,tau,iteration,runtime_ms,patterns,peak_MB
C8T1S5I8N5K,2.0E-5,0.1,10,16,7,1347,461588,7319
C8T1S5I8N5K,2.0E-5,0.1,10,32,1,1366,461588,7321
C8T1S5I8N5K,2.0E-5,0.1,10,32,2,1383,461588,7324
C8T1S5I8N5K,2.0E-5,0.1,10,32,3,1377,461588,7322
C8T1S5I8N5K,2.0E-5,0.1,10,32,4,1363,461588,7326
C8T1S5I8N5K,2.0E-5,0.1,10,32,5,1362,461588,7322
C8T1S5I8N5K,2.0E-5,0.1,10,32,6,1384,461588,7322
C8T1S5I8N5K,2.0E-5,0.1,10,32,7,1377,461588,7323
C8T1S5I8N5K,2.0E-5,0.1,10,64,1,1399,461588,7316
C8T1S5I8N5K,2.0E-5,0.1,10,64,2,1498,461588,7318
C8T1S5I8N5K,2.0E-5,0.1,10,64,3,1530,461588,7319
C8T1S5I8N5K,2.0E-5,0.1,10,64,4,1531,461588,7319
C8T1S5I8N5K,2.0E-5,0.1,10,64,5,1511,461588,7319
C8T1S5I8N5K,2.0E-5,0.1,10,64,6,1484,461588,7322
C8T1S5I8N5K,2.0E-5,0.1,10,64,7,1417,461588,7318
C8T1S5I8N5K,2.0E-5,0.1,10,128,1,1508,461588,7303
C8T1S5I8N5K,2.0E-5,0.1,10,128,2,1493,461588,7305
C8T1S5I8N5K,2.0E-5,0.1,10,128,3,1555,461588,7305
C8T1S5I8N5K,2.0E-5,0.1,10,128,4,1613,461588,7309
C8T1S5I8N5K,2.0E-5,0.1,10,128,5,1589,461588,7305
C8T1S5I8N5K,2.0E-5,0.1,10,128,6,1604,461588,7304
C8T1S5I8N5K,2.0E-5,0.1,10,128,7,1628,461588,7303
C8T1S5I8N5K,2.0E-5,0.1,10,256,1,1633,461588,7303
C8T1S5I8N5K,2.0E-5,0.1,10,256,2,1517,461588,7305
C8T1S5I8N5K,2.0E-5,0.1,10,256,3,1714,461588,7305
C8T1S5I8N5K,2.0E-5,0.1,10,256,4,1596,461588,7308
C8T1S5I8N5K,2.0E-5,0.1,10,256,5,1632,461588,7307
C8T1S5I8N5K,2.0E-5,0.1,10,256,6,1604,461588,7308
C8T1S5I8N5K,2.0E-5,0.1,10,256,7,1685,461588,7308
